id,IMD18,Employment,Incom,Crime,Housing,Health,Education,Access,,,,,,,,,
7600432,3,4,3,3,7,6,3,3,,,,,,,,,
7600434,2,3,3,1,6,3,1,4,,,,,,,,,
7600435,3,4,4,3,4,2,1,7,,,,,,,,,
7600436,6,6,7,3,8,8,4,3,,,,,,,,,
7600437,7,7,7,6,10,8,4,4,,,,,,,,,
7600438,7,6,8,5,4,10,4,4,,,,,,,,,
7600439,10,10,10,5,10,10,8,5,,,,,,,,,
7600440,5,6,2,5,3,9,2,5,,,,,,,,,
7600441,7,7,7,5,10,8,4,3,,,,,,,,,
7600442,6,6,7,2,8,7,5,3,,,,,,,,,
7600443,6,4,7,8,9,7,3,4,,,,,,,,,
7600444,3,3,1,2,1,9,2,5,,,,,,,,,
7600445,1,2,1,1,4,2,2,8,,,,,,,,,
7600446,6,5,6,9,7,5,4,5,,,,,,,,,
7600447,5,4,5,4,9,6,5,1,,,,,,,,,
7600448,5,7,6,9,4,3,3,5,,,,,,,,,
7600449,2,2,4,6,2,4,2,6,,,,,,,,,
7600450,6,6,6,4,8,8,3,1,,,,,,,,,
7600451,5,6,5,2,6,6,3,2,,,,,,,,,
7600452,5,4,5,4,8,7,2,3,,,,,,,,,
7600453,6,7,6,10,5,7,7,5,,,,,,,,,
7600454,5,3,5,2,6,10,2,5,,,,,,,,,
7600455,7,5,6,3,7,10,4,4,,,,,,,,,
7600456,5,5,6,2,7,5,2,3,,,,,,,,,
7600457,6,6,6,2,8,7,2,4,,,,,,,,,
7600458,5,2,7,3,9,5,4,3,,,,,,,,,
7600459,5,6,5,4,4,5,6,4,,,,,,,,,
7600460,9,9,8,5,10,9,8,3,,,,,,,,,
7600461,7,7,9,1,8,5,4,3,,,,,,,,,
7600462,4,4,5,2,5,7,3,3,,,,,,,,,
7600463,3,3,5,2,5,3,4,7,,,,,,,,,
7600464,5,6,6,2,8,6,3,2,,,,,,,,,
7600465,8,7,8,4,10,8,6,3,,,,,,,,,
7600466,7,6,5,10,10,5,5,2,,,,,,,,,
7600467,5,4,6,6,8,6,3,5,,,,,,,,,
7600469,5,6,5,3,5,7,3,7,,,,,,,,,
7600470,6,6,6,10,7,1,6,5,,,,,,,,,
7600471,3,3,4,4,6,4,2,4,,,,,,,,,
7600472,2,2,4,5,5,3,1,3,,,,,,,,,
7600473,1,2,1,3,3,5,1,6,,,,,,,,,
7600474,7,6,7,5,8,7,5,5,,,,,,,,,
7600475,6,6,5,5,7,8,6,3,,,,,,,,,
7600476,6,4,7,5,8,5,5,6,,,,,,,,,
7600477,9,10,7,5,8,8,8,4,,,,,,,,,
7600478,4,3,5,2,7,5,3,3,,,,,,,,,
7600479,4,2,7,2,6,6,4,4,,,,,,,,,
7600480,6,8,6,2,7,5,3,4,,,,,,,,,
7600482,1,2,2,4,1,1,1,4,,,,,,,,,
7600483,6,6,6,8,9,7,2,5,,,,,,,,,
7600484,5,1,5,7,5,9,4,5,,,,,,,,,
7600485,5,5,6,1,6,4,4,5,,,,,,,,,
7600486,4,6,3,4,6,4,3,1,,,,,,,,,
7600487,5,7,5,3,8,5,3,3,,,,,,,,,
7600488,5,6,6,2,6,7,3,5,,,,,,,,,
7600489,3,4,4,1,3,3,2,6,,,,,,,,,
7600490,7,5,7,6,10,6,6,3,,,,,,,,,
